Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days/week,Experience_Level,BMI,Daily_meals_frequency,Physical_exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name_of_Exercise,Sets,Reps,Benefit,Burns_Calories_per_30_min,Target_Muscle_Group,Equipment_Needed,Difficulty_Level,Body_Part,Type_of_Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns_Calories_per_30_min_bc,Burns_Calories_Bin
33.2,Female,58.98,1.67,175.04,123.95,54.96,0.91,802.26,24.32082112410528,1.88,2.99,1.02,21.15,1.99,-0.02,246.04,98.11,65.48,1608.0,Other,Breakfast,Paleo,42.81,2142.48,215.42,399.43,Boiled,54.35,6.09,4.7,Dips,5.0,21.9,Builds chest strength,359.63,"Quadriceps, Glutes",Step or Box,Intermediate,Arms,Grip Strength,Standing calf raises,21.148122915844954,1965.92,0.5006104012370798,1.6634452356731095,0.5745336442371753,0.708123857404022,805.74,44.63557970100271,654.5266,1.0796070881410969e+20,High
30.9,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,29.31860660365026,1.82,3.98,1.95,26.25,2.0,1.01,222.21,89.25,58.85,2182.0,Other,Breakfast,Paleo,15.41,278.9,228.23,407.72,Raw,59.79,72.64,1.76,Glute Bridges,4.0,24.02,Improves shoulder mobility and posture,353.43,"Chest, Triceps, Shoulders",Step or Box,Advanced,Forearms,Grip Strength,Hyperextensions,26.254232071406587,1775.4900000000002,0.5006167311559062,1.1625635013677218,0.6182608695652173,0.722561617863914,967.88,54.26210571037769,897.7122,9.366364978850316e+19,High
24.03,Female,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,26.7693540494346,3.48,4.01,3.01,27.56,2.99,-0.01,174.44,69.19,46.48,2410.0,Other,Lunch,Keto,0.81,299.22,187.88,124.74,Boiled,45.62,15.41,2.76,Lat Pulldowns,3.99,23.85,Builds chest strength,350.66,"Core, Shoulders, Hips","Bench, Barbell",Intermediate,Back,Grip Strength,Leg raises,27.555319746574703,1392.84,0.5009620631228282,0.783667459508438,0.7867699430199429,0.8651084201633342,578.19,64.65533730975419,1234.3232,8.783303595702269e+19,High
25.11,Female,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,30.892571504733954,2.28,2.99,2.01,29.83,4.02,0.02,198.29,79.79,52.85,3016.0,Other,Lunch,Balanced,43.02,2092.8,254.4,466.3,Raw,50.18,36.63,3.97,Mountain Climbers,3.98,15.03,Builds explosive power,355.39,"Obliques, Core",Pull-up Bar,Beginner,Shoulders,Lower,Plate pinch,29.83250339520145,1587.97,0.499480468774599,0.7567336874051594,0.8287075974208017,0.8947277739490006,1738.14,72.86687260540852,945.3374,9.799195949776652e+19,High
48.18,Female,56.53,1.51,184.75,125.44,52.26,1.37,1311.91,28.50765309226645,2.11,3.97,1.97,24.79,3.0,0.01,215.24,85.55,57.33,1489.0,Other,Breakfast,Paleo,35.32,1707.76,53.01,130.6,Roasted,18.25,96.05,1.99,Plyometric Push-ups,5.02,23.09,Improves unilateral leg strength and balance,330.57,Lower Abs,"Bench, Barbell",Intermediate,Legs,Wrist Flexors,Dumbbell rows,24.79277224683128,1719.13,0.5008114569578799,1.513355740314877,0.5523435730998566,0.6789715832205683,177.08999999999992,40.414623706941775,905.7618,5.424739642634425e+19,Low
25.76,Female,70.53,1.5,182.39,142.14,53.94,1.15,1011.08,30.919318997894145,2.6,1.97,1.0,31.35,3.0,-0.04,217.65,85.89,58.01,1839.0,Other,Snack,Paleo,4.67,2179.93,116.05,240.22,Fried,37.85,112.78,4.85,Seated Rows,5.01,21.05,Strengthens lower abs,368.91,"Back, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Legs,Upper,Pull-ups,31.346666666666668,1736.25,0.5014254859611231,1.2177796682262867,0.6866485013623977,0.7793190416141236,827.92,48.72260431078526,848.4929999999999,1.3293965745308955e+20,Very High
58.93,Female,59.66,1.76,193.79,120.64,52.98,1.72,1787.42,21.52076364412733,2.7,5.0,2.99,19.26,3.03,0.01,201.78,80.95,53.99,1789.0,Other,Lunch,Vegetarian,34.91,2130.37,126.94,450.97,Baked,59.47,65.86,2.34,Deadlift,5.01,14.96,Strengthens core and improves mobility,337.04,Core,None or Dumbbells,Beginner,Legs,Upper,Chest flyes,19.260072314049587,1616.8300000000002,0.4991990499928873,1.356855514582635,0.4805056459058305,0.6225295422880438,1.5799999999999272,46.82071240991363,1159.4176,6.355219783796852e+19,Low
56.29,Female,125.88,1.86,196.94,129.1,63.86,1.0,960.8,35.0,2.2,3.04,2.01,36.39,2.99,0.0,298.21,120.07,79.45,3424.0,Other,Breakfast,Low-Carb,39.98,1286.81,251.92,312.73,Steamed,47.66,13.73,2.87,Face Pulls,4.0,15.05,Builds lower body power and endurance,366.43,"Quadriceps, Glutes",Bench or Chair,Advanced,Arms,Lower Chest,Dumbbell front raises,36.38570933055844,2388.17,0.4994786803284523,0.953844931680966,0.4902314397354975,0.6555296029247486,2463.2,81.822,732.86,1.2581223830195688e+20,Very High
18.0,Female,64.01,1.63,161.7,120.44,73.06,0.66,580.8,26.843215360604923,2.19,3.01,1.0,24.09,3.0,-0.01,214.64,85.59,57.27,1758.0,Other,Lunch,Vegan,43.07,2069.47,4.82,396.21,Boiled,5.6,48.41,2.37,Push-ups,4.0,24.97,Improves posture and strengthens upper back,359.03,"Upper Chest, Triceps",Bench or Sturdy Surface,Intermediate,Abs,Wrist Flexors,Leg raises,24.091986902028683,1716.35,0.5002243132228275,1.3371348226839557,0.5345216606498195,0.7448361162646877,1177.2,46.8276578476768,473.9196,1.0649808991667972e+20,High
18.0,Female,62.43,1.59,190.02,161.38,50.38,1.23,1180.8,26.635811730396675,2.18,4.01,2.0,24.69,3.01,-0.0,217.52,86.76,58.54,1857.0,Other,Lunch,Keto,15.12,1253.85,212.37,295.27,Baked,53.46,106.89,2.16,Kettlebell Swings,5.0,17.97,Builds calf muscles,341.52,"Chest, Triceps",Resistance Band or Cable Machine,Beginner,Shoulders,Wrist Extensors,Preacher curls,24.69443455559511,1743.98,0.4989048039541738,1.3897164824603556,0.794901174448582,0.8492790232607094,676.2,45.80126273671336,840.1392,7.0789577991987536e+19,Medium
18.8,Female,127.92,1.92,184.44,168.17,69.96,1.26,1211.62,32.137482441866815,3.0,3.99,2.02,34.7,2.99,0.0,233.71,93.24,61.85,3376.0,Other,Breakfast,Paleo,17.72,2486.74,265.81,211.02,Steamed,40.98,19.66,1.81,Calf Raises,4.01,16.91,Builds explosive power,342.75,Core,Pull-up Bar,Beginner,Abs,Quads,Barbell curls,34.700520833333336,1864.45,0.5014025583952373,0.7288930581613507,0.8578791055206149,0.9117870310127956,2164.38,86.80973246036397,863.73,7.2899055427281535e+19,Medium
41.04,Female,82.17,1.66,176.8,138.34,74.12,1.98,2060.78,30.284776579530742,3.5,4.99,3.01,29.82,3.99,2.02,265.42,106.58,71.22,2327.0,Other,Snack,Vegan,45.23,591.33,78.78,222.77,Roasted,27.89,5.72,3.1,Dragon Flags,4.01,14.98,Builds explosive upper body power,346.59,"Upper Back, Rear Deltoids",Resistance Band or Cable Machine,Beginner,Shoulders,Wrist Flexors,Leg curls,29.81927710843373,2128.98,0.4986801191180753,1.2970670561032007,0.6254382547721075,0.7824660633484163,266.2199999999998,57.28499908459958,1372.4964,7.98441716232852e+19,Medium
45.08,Female,51.38,1.65,170.2,136.15,50.08,1.44,1266.05,23.58927482645203,2.29,2.0,1.0,18.87,3.0,0.01,233.19,93.15,61.59,1430.0,Other,Breakfast,Vegan,10.68,1454.39,247.46,151.88,Fried,38.99,30.06,4.56,Leg Press,3.99,22.98,Builds unilateral leg strength,335.22,Triceps,Kettlebell,Intermediate,Shoulders,Grip Strength,Bird dog,18.87235996326906,1859.67,0.5015728597009147,1.8129622421175555,0.7165334665334666,0.7999412455934196,163.95000000000005,39.25983059416895,965.4336,6.080296694587763e+19,Low
